letter,lm_0_x,lm_0_y,lm_0_z,lm_1_x,lm_1_y,lm_1_z,lm_2_x,lm_2_y,lm_2_z,lm_3_x,lm_3_y,lm_3_z,lm_4_x,lm_4_y,lm_4_z,lm_5_x,lm_5_y,lm_5_z,lm_6_x,lm_6_y,lm_6_z,lm_7_x,lm_7_y,lm_7_z,lm_8_x,lm_8_y,lm_8_z,lm_9_x,lm_9_y,lm_9_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z
R,0.534328,0.737588,0.008122,0.594649,0.747123,-0.01741,0.626546,0.769163,-0.012704,0.657886,0.78247,-0.017317,0.700413,0.829706,0.000175,0.606714,0.756493,0.008757,0.630763,0.782829,-0.001108,0.66839,0.821852,-0.006661,0.673649,0.828023,0.011048,0.606358,0.743488,-0.009648,0.598828,0.790086,-0.001866,0.642574,0.801711,-0.012763,0.672235,0.85459,-0.005951,0.580286,0.77457,-0.029607,0.594058,0.814308,0.019287,0.614231,0.839592,0.007333,0.655094,0.860411,0.012555,0.573511,0.788232,0.001719,0.583663,0.819631,-0.016815,0.620742,0.849157,0.007469,0.619339,0.876321,-0.006581
T,0.530723,0.768103,-0.008884,0.516656,0.722762,-0.008076,0.523381,0.639849,0.010876,0.575811,0.619529,-0.019039,0.628236,0.609086,0.003133,0.540392,0.704394,-0.009943,0.581876,0.640793,0.000487,0.611096,0.658035,0.007374,0.610857,0.62897,0.001984,0.566082,0.735992,-0.005871,0.600227,0.674988,0.002973,0.597169,0.686001,0.004898,0.626391,0.640988,0.008394,0.542752,0.734078,-0.007616,0.609349,0.695808,0.006731,0.616605,0.665552,-0.007892,0.638814,0.65338,-0.008783,0.603093,0.779326,-0.009084,0.612769,0.70608,0.001757,0.636342,0.663479,-0.002044,0.658298,0.637244,0.000738
K,0.472351,0.671335,-0.006464,0.49525,0.630828,0.003974,0.477935,0.60363,-0.004824,0.456239,0.568189,-0.015306,0.448282,0.500059,0.008676,0.472614,0.649782,0.008019,0.488768,0.607468,-0.012515,0.483721,0.562675,0.000121,0.490739,0.513115,0.016527,0.497166,0.636865,-0.01749,0.510453,0.580251,-0.005248,0.523478,0.539681,0.001771,0.503937,0.51067,0.003403,0.503901,0.639812,-0.004249,0.48116,0.595654,0.00513,0.527896,0.569788,-0.001972,0.52112,0.493715,-0.000789,0.547529,0.651845,-0.018338,0.534926,0.610426,-0.019707,0.520551,0.548431,-0.000136,0.547523,0.50572,0.005652
G,0.493662,0.695658,-0.012729,0.568521,0.72433,-0.008387,0.571318,0.719586,-0.018805,0.608892,0.768668,0.024418,0.651112,0.78245,-0.01106,0.562946,0.726333,0.000537,0.596481,0.76092,-0.003798,0.593518,0.773045,-0.000575,0.650136,0.808902,0.006275,0.567078,0.773124,0.024202,0.566974,0.781868,-0.001041,0.594265,0.804499,-0.006998,0.623868,0.828241,0.006708,0.537862,0.733181,0.000232,0.561334,0.801239,-0.016751,0.568507,0.812006,-0.011182,0.628855,0.831562,0.008186,0.508194,0.739281,-0.007283,0.536505,0.792618,0.009606,0.542194,0.812399,0.002323,0.586366,0.861673,-0.021322
D,0.518315,0.695964,0.000454,0.464364,0.757034,-0.008308,0.456409,0.756685,-0.001964,0.41418,0.770795,-0.00273,0.363764,0.787409,0.008235,0.477484,0.751479,0.001652,0.459922,0.739106,0.006221,0.431299,0.731948,-0.000135,0.383108,0.771964,0.008388,0.485522,0.72313,-0.017434,0.426328,0.740372,-0.004892,0.395597,0.727338,-0.00157,0.352846,0.691364,0.00405,0.479423,0.707995,-0.004085,0.44965,0.69138,0.014668,0.411825,0.718799,-0.002298,0.325832,0.68836,-0.017555,0.480253,0.69012,0.020518,0.429296,0.676885,-0.016299,0.440935,0.693616,0.01284,0.353456,0.679629,-0.002661
J,0.51331,0.680078,-0.012877,0.449787,0.650838,0.007311,0.455067,0.630188,0.006309,0.48014,0.559986,0.015803,0.455101,0.525008,-0.007343,0.488542,0.633216,0.005041,0.507178,0.631504,-0.010359,0.488339,0.584668,0.008172,0.475355,0.527004,0.006728,0.519811,0.670942,-0.019933,0.498624,0.618546,0.009385,0.510692,0.576507,0.004391,0.480251,0.526616,-0.008137,0.530151,0.663728,-0.000274,0.543043,0.63231,0.015209,0.517286,0.571169,0.009503,0.539875,0.539984,-0.007588,0.557738,0.644556,0.000245,0.550921,0.627046,-0.001642,0.543207,0.549577,0.00463,0.544711,0.526207,-0.004617
F,0.503982,0.690614,-0.005435,0.587062,0.656992,0.003565,0.628506,0.663199,0.007437,0.674844,0.642328,-0.006322,0.70015,0.651861,-0.009706,0.57631,0.673057,0.014447,0.605285,0.649018,0.000522,0.689551,0.645232,-0.014989,0.707763,0.633472,0.003427,0.56333,0.692768,-0.004583,0.62857,0.663866,0.008124,0.661861,0.673676,0.015154,0.700968,0.670355,0.001156,0.548686,0.703759,-0.002588,0.626651,0.690168,0.006022,0.650835,0.705225,-0.002353,0.687946,0.682278,-0.01186,0.558306,0.739047,0.011888,0.619241,0.712576,-0.002351,0.638677,0.736542,0.002313,0.655377,0.710756,0.012154
J,0.455365,0.744747,-0.016935,0.430043,0.685348,-0.015799,0.42511,0.612779,0.016495,0.42045,0.588554,-0.010212,0.418981,0.562374,0.004137,0.447754,0.704665,-0.010319,0.445722,0.613145,-0.014574,0.441433,0.582749,0.011417,0.471704,0.593663,0.017693,0.45805,0.673034,-0.005766,0.453094,0.643771,0.00961,0.459332,0.610103,-0.001825,0.497573,0.589305,-0.017316,0.478375,0.672865,0.018247,0.486692,0.623662,-0.015115,0.48456,0.590196,-0.002473,0.489267,0.544473,0.015611,0.509509,0.660017,-0.010844,0.49603,0.627387,0.005821,0.525346,0.616844,-0.011784,0.518977,0.548834,-0.020388
U,0.537657,0.71286,-0.003916,0.567652,0.652713,-0.005234,0.618189,0.669162,0.007847,0.672587,0.68291,-0.008908,0.70631,0.693452,0.000771,0.614475,0.706079,0.003298,0.627749,0.683978,0.003393,0.652145,0.682367,0.004727,0.686623,0.715508,-0.008082,0.57721,0.722644,0.004871,0.626762,0.712029,-0.002778,0.665952,0.713051,-0.016481,0.698893,0.703837,0.015162,0.580282,0.764674,-0.004876,0.596665,0.743835,0.013018,0.639153,0.731613,-0.0007,0.709263,0.704227,0.013028,0.572114,0.777347,0.011273,0.608976,0.721342,0.006934,0.654702,0.752127,0.020222,0.65395,0.767658,0.002877
J,0.511872,0.705199,0.001268,0.438112,0.635986,0.001248,0.450399,0.618645,0.021034,0.444525,0.567345,0.012325,0.425958,0.518913,0.0028,0.47507,0.63162,-0.013425,0.484582,0.620216,0.005617,0.468902,0.584799,0.007461,0.471111,0.537743,0.008237,0.477934,0.638616,0.014279,0.462668,0.616149,-0.009057,0.484628,0.552548,0.008588,0.494013,0.538539,0.021915,0.517593,0.639154,-0.004262,0.506822,0.600685,-0.014673,0.515996,0.556721,-0.013189,0.517199,0.518179,-0.016443,0.527084,0.652589,0.020427,0.526346,0.646954,-0.008296,0.525005,0.540482,-0.008665,0.512342,0.501362,-0.006972
Y,0.48744,0.730731,-0.00918,0.558617,0.667094,0.006274,0.513883,0.656452,0.003775,0.553394,0.621299,-0.02386,0.598554,0.595486,0.013369,0.513987,0.682333,0.005421,0.562497,0.649262,0.003893,0.596726,0.646036,-0.00205,0.604641,0.580925,0.00166,0.550938,0.706853,0.004943,0.544681,0.685408,-0.003282,0.585634,0.652909,-0.00193,0.625509,0.60755,0.001716,0.553395,0.719135,0.0017,0.59464,0.680869,-0.003279,0.622732,0.685138,-0.00363,0.643755,0.645026,-0.016346,0.592467,0.722723,-0.006278,0.603853,0.688124,0.010092,0.647035,0.670037,-0.000108,0.658072,0.649131,0.005689
V,0.504822,0.692099,-0.004567,0.493182,0.627867,-0.015306,0.476079,0.602122,0.008518,0.473497,0.570452,0.003059,0.488814,0.521582,-0.010011,0.51055,0.667757,0.004784,0.51539,0.605222,0.000793,0.51408,0.552932,0.0147,0.502176,0.542962,0.010866,0.524267,0.636283,0.010771,0.517696,0.603207,-0.003376,0.551946,0.567545,-0.001087,0.510268,0.518599,0.000422,0.559926,0.647491,0.005521,0.54404,0.612313,-0.009463,0.561795,0.549195,-0.001723,0.554238,0.507609,-0.000542,0.564507,0.629385,0.01683,0.55426,0.602359,-0.007488,0.550562,0.538648,0.008768,0.5583,0.53732,-0.002367
Y,0.534722,0.663617,-0.00302,0.570939,0.5979,-0.003591,0.560205,0.601859,0.017121,0.596453,0.580253,-0.010654,0.622155,0.514748,-0.007424,0.550241,0.628411,-0.010881,0.581388,0.595862,-0.004431,0.632797,0.570236,0.017907,0.652269,0.523423,0.001679,0.584736,0.630198,-0.006462,0.619302,0.620404,-0.019931,0.593694,0.554462,-0.002939,0.66366,0.564954,0.002088,0.574307,0.637118,0.001466,0.608017,0.611146,0.007761,0.628656,0.569098,0.022206,0.658258,0.561566,-0.005945,0.572713,0.670514,0.009138,0.652567,0.639533,-0.002291,0.668688,0.605287,-0.001749,0.676933,0.585055,-0.015326
M,0.444296,0.720293,-0.006712,0.517256,0.652493,0.003065,0.56826,0.683306,-0.022071,0.563733,0.667544,0.012456,0.653009,0.675562,-0.004736,0.529707,0.701955,-0.001039,0.592135,0.702547,0.003194,0.614443,0.689784,-0.00775,0.633872,0.682602,0.005808,0.546561,0.719793,-0.013604,0.575407,0.735372,0.008338,0.616683,0.707952,0.00536,0.66772,0.701503,0.003763,0.529475,0.726702,-0.012793,0.596757,0.736227,-0.00355,0.625892,0.721444,0.009197,0.633672,0.715321,0.005131,0.514702,0.733535,-0.012315,0.560898,0.751812,-0.005994,0.613317,0.735493,0.008824,0.670888,0.768506,-0.010899
J,0.484627,0.666675,-0.000856,0.460408,0.647859,-0.023738,0.43148,0.587611,0.008328,0.421079,0.605969,0.010242,0.473594,0.516502,0.003757,0.482785,0.65824,-0.015598,0.489454,0.642008,0.002111,0.466753,0.562851,0.005111,0.477499,0.532048,0.00872,0.48667,0.637197,-0.003901,0.469973,0.594101,0.008518,0.494315,0.544611,0.015449,0.487828,0.510728,0.018401,0.498729,0.619838,0.000677,0.495924,0.641188,-0.008473,0.498345,0.576512,0.001975,0.491372,0.539118,0.003006,0.550398,0.630033,-0.005503,0.538422,0.614946,-0.002598,0.52601,0.569986,-0.007756,0.539494,0.507423,-0.003756
E,0.520615,0.693104,-0.007117,0.550771,0.657328,0.02252,0.575348,0.614262,-0.006436,0.597949,0.597674,-0.022122,0.607694,0.536709,0.020584,0.564574,0.649099,0.004386,0.601113,0.620674,0.003638,0.60745,0.604351,0.00265,0.646171,0.562004,-0.009004,0.570365,0.665695,0.000325,0.613109,0.633706,-0.001945,0.628001,0.612096,-0.004093,0.637158,0.56461,-0.002967,0.597388,0.714488,-0.003819,0.614935,0.664364,0.004428,0.622983,0.640482,0.006668,0.641793,0.606912,0.00487,0.581346,0.684154,0.012935,0.632726,0.699703,-0.012506,0.643786,0.631877,-0.00815,0.668651,0.612964,-0.015155
F,0.49101,0.666,-0.018187,0.525062,0.604331,-0.00564,0.582704,0.603154,-0.000386,0.604193,0.638312,0.005046,0.664592,0.609131,-0.015068,0.559605,0.64333,-0.012336,0.567298,0.66546,-0.01099,0.627408,0.616283,0.020626,0.657426,0.63769,-0.009802,0.50867,0.659208,-0.009142,0.582697,0.664586,-0.000109,0.624667,0.685348,-0.006561,0.638719,0.671803,-0.008901,0.507975,0.667518,0.018633,0.584853,0.685208,-0.007707,0.634311,0.685161,-0.019506,0.619593,0.667691,0.004899,0.509495,0.683901,0.011289,0.610018,0.674933,-0.011649,0.611548,0.695885,-0.003501,0.622463,0.694951,-0.000981
N,0.525187,0.663688,-0.000389,0.574578,0.705818,0.001934,0.613155,0.726256,-0.002148,0.635636,0.732495,-0.009209,0.676138,0.75248,-0.002928,0.567404,0.68664,0.008663,0.619045,0.735359,2.8e-05,0.631453,0.753473,0.027223,0.691013,0.780517,0.009303,0.545614,0.706683,-0.008782,0.583658,0.724104,0.002399,0.624004,0.748707,0.019285,0.677952,0.787912,-0.0011,0.54256,0.739393,-0.005023,0.592501,0.759818,-0.014536,0.589126,0.783717,0.009637,0.625764,0.815351,-0.01377,0.50609,0.734408,0.005856,0.573249,0.77081,-0.016685,0.606423,0.783464,-0.003971,0.629754,0.822986,-0.005548
C,0.492623,0.73477,-0.014336,0.480014,0.778854,0.010716,0.44447,0.789204,0.001652,0.381465,0.753495,0.000193,0.366158,0.745471,0.008153,0.473208,0.734515,-0.00934,0.426505,0.745993,-0.001947,0.404893,0.717239,-0.014698,0.338022,0.758051,-0.001391,0.474138,0.73029,0.006562,0.425567,0.700004,-0.003585,0.370648,0.720406,-0.007665,0.357888,0.724354,-0.00364,0.483097,0.743965,-0.01845,0.469977,0.686821,-0.013545,0.379157,0.712421,0.002158,0.344276,0.692716,-0.007596,0.482449,0.700236,-0.002553,0.423386,0.67577,-0.023076,0.392761,0.687156,-0.003692,0.346006,0.698231,0.003134
S,0.446688,0.678719,0.002686,0.402926,0.630071,-0.00216,0.408926,0.581426,0.000991,0.417423,0.545081,0.012722,0.41016,0.515575,0.005433,0.421089,0.604767,-0.003002,0.422569,0.605286,0.001301,0.432746,0.537993,0.012819,0.421839,0.507062,0.011448,0.473834,0.607114,-0.010896,0.460226,0.610235,0.007223,0.423484,0.551076,-0.001289,0.455467,0.490196,0.006403,0.485946,0.625433,0.005303,0.464832,0.610264,0.00641,0.46527,0.545539,-0.010315,0.485765,0.491286,0.001234,0.505129,0.623124,0.006698,0.467797,0.585777,0.001787,0.488787,0.575862,-1.9e-05,0.508064,0.522222,0.005308
J,0.530146,0.719546,0.00178,0.502748,0.677145,0.000289,0.494217,0.626619,0.003488,0.490876,0.592686,0.00332,0.491957,0.539586,0.004232,0.47228,0.665601,-0.006551,0.510667,0.631042,-0.001682,0.461563,0.566697,-0.006071,0.488402,0.561771,0.007885,0.525361,0.652767,-0.000579,0.508562,0.605441,0.001537,0.520968,0.58205,-0.021794,0.542082,0.542795,1.9e-05,0.515224,0.658985,-0.00251,0.545964,0.621734,0.011219,0.547193,0.577387,0.002793,0.570824,0.562414,0.016421,0.547913,0.645125,-0.000446,0.57891,0.621177,0.012718,0.566602,0.589238,-0.003041,0.540706,0.549926,0.015021
L,0.510722,0.699954,0.02259,0.4899,0.637284,0.015289,0.538005,0.609325,0.002895,0.57032,0.590593,0.015269,0.58644,0.548472,-0.016391,0.515504,0.624324,-0.001957,0.522155,0.598542,-0.004571,0.577439,0.593317,-0.000936,0.603894,0.558198,-0.010345,0.551671,0.660504,0.0066,0.581559,0.643329,-0.009594,0.588114,0.59105,0.004613,0.638096,0.569124,-0.001351,0.555341,0.687497,0.012976,0.574917,0.643284,0.004848,0.607933,0.625276,-0.005507,0.630637,0.61313,-0.002717,0.534891,0.683445,0.015257,0.593154,0.647488,0.02121,0.624032,0.646289,-0.005154,0.650026,0.625296,0.00206
F,0.492178,0.697949,-0.016907,0.564421,0.643157,-0.007202,0.570049,0.664804,0.008198,0.638226,0.66043,0.008725,0.702047,0.651357,0.00202,0.559534,0.681788,-0.009194,0.604474,0.674087,-0.00573,0.630959,0.653788,0.009169,0.664018,0.693208,-0.007805,0.575667,0.692176,-0.005295,0.610762,0.706469,-0.01182,0.630752,0.688055,-0.005834,0.679225,0.705334,-0.009282,0.548104,0.735657,0.016005,0.584321,0.721979,-0.005677,0.629039,0.741664,-0.004263,0.677759,0.693554,-0.008735,0.559811,0.740465,-0.001007,0.577861,0.748887,-0.010018,0.619191,0.750256,-0.004306,0.649458,0.745827,0.002052
H,0.507693,0.679015,0.007003,0.52655,0.737005,0.00085,0.552605,0.796067,0.008909,0.568017,0.854501,0.017323,0.53703,0.886384,0.005298,0.512588,0.753825,-0.000846,0.528776,0.803723,-0.011707,0.534591,0.845288,0.019,0.527203,0.880777,0.004386,0.519642,0.776331,-0.00314,0.499218,0.795396,0.0078,0.50409,0.832313,-0.007128,0.50814,0.872794,-0.019289,0.476944,0.72784,0.006337,0.487634,0.763671,0.001416,0.479859,0.851922,-0.005001,0.491219,0.846563,-0.009425,0.43281,0.754905,0.006427,0.476972,0.823579,0.009044,0.496198,0.829825,0.004979,0.486283,0.895248,0.004335
T,0.477326,0.725952,0.00958,0.485706,0.658856,0.011866,0.507012,0.628465,0.007556,0.544353,0.613606,0.011578,0.577071,0.562627,-0.005109,0.538034,0.673845,0.013056,0.539505,0.658165,-0.00111,0.551919,0.608048,-0.006008,0.594371,0.567066,0.01708,0.510684,0.657278,0.003673,0.553164,0.676321,0.000841,0.582566,0.609785,-0.003966,0.601294,0.598556,0.001023,0.547044,0.727756,-0.010312,0.565138,0.657912,0.019747,0.573937,0.635895,0.005972,0.628801,0.60758,0.012311,0.49924,0.73105,0.003325,0.59759,0.697515,-0.027468,0.627902,0.684162,-0.014189,0.622529,0.61545,0.006128
L,0.511974,0.723218,0.010644,0.550779,0.616198,0.018632,0.543176,0.635355,0.005587,0.557565,0.607716,-0.002281,0.614316,0.598639,0.006783,0.52431,0.70031,0.001395,0.55888,0.583069,-0.016775,0.59023,0.60959,0.016888,0.611112,0.571865,0.010294,0.550921,0.686704,0.004516,0.545683,0.658686,-0.003494,0.603872,0.622383,-0.006452,0.627678,0.577131,0.003554,0.555172,0.704337,-0.018278,0.595038,0.657032,0.009101,0.605249,0.64807,-0.002771,0.629733,0.611357,0.005262,0.569519,0.696096,-0.001916,0.577223,0.696719,0.000943,0.615663,0.670104,0.013528,0.661182,0.616651,-0.002944
B,0.490874,0.695423,0.014331,0.424103,0.757628,-0.006304,0.399129,0.76599,0.004744,0.3442,0.746067,0.007249,0.3051,0.736818,0.01762,0.452475,0.712793,-0.013183,0.37227,0.70602,-0.00284,0.350385,0.701986,0.001546,0.267973,0.724839,0.016078,0.413294,0.659547,0.001665,0.402031,0.696616,0.002287,0.370887,0.728082,0.00598,0.292981,0.705283,-0.010003,0.431288,0.679121,-0.00571,0.414488,0.679327,-0.01481,0.357214,0.693034,0.00051,0.299898,0.676256,-0.005888,0.423951,0.652215,-0.00221,0.371184,0.666444,-0.007824,0.364677,0.668461,0.015058,0.291057,0.68391,-0.001166
H,0.508132,0.709206,0.002425,0.556328,0.780107,0.007796,0.56294,0.819672,-0.009408,0.539713,0.856957,-0.00469,0.547823,0.859742,0.011241,0.521966,0.794308,-0.015292,0.556882,0.830897,-0.017637,0.54089,0.837771,0.007618,0.543619,0.893113,-0.001642,0.505354,0.787207,0.013117,0.526177,0.82703,0.019106,0.522377,0.852148,0.000965,0.508202,0.88645,0.001039,0.491669,0.797806,-0.006474,0.482112,0.812473,-0.016132,0.510168,0.876071,0.000342,0.487279,0.903234,0.000442,0.490055,0.777102,0.015659,0.489137,0.807346,0.005473,0.48492,0.858271,-0.005688,0.476188,0.869663,0.010121
B,0.567569,0.696467,-0.006354,0.49589,0.71146,-0.001239,0.451166,0.715979,-5.2e-05,0.402275,0.73952,0.008781,0.367383,0.735592,-0.010514,0.471052,0.707375,0.005465,0.446722,0.710545,0.019605,0.462997,0.689558,0.003267,0.359383,0.745124,-0.004358,0.510712,0.684069,-0.010571,0.454709,0.662348,-0.006399,0.41379,0.686026,-0.022717,0.376828,0.720947,-0.009517,0.5027,0.656305,-0.028222,0.442881,0.6524,0.00847,0.417286,0.659347,0.006732,0.379749,0.660178,0.006682,0.477168,0.639558,0.012533,0.42571,0.630792,0.001563,0.421249,0.637607,0.004299,0.364514,0.657344,0.001947
K,0.495613,0.723778,0.00214,0.429019,0.677956,-0.006438,0.474883,0.646096,-0.00082,0.457668,0.561117,0.006969,0.420728,0.519927,-0.002921,0.480693,0.662425,-0.012484,0.464771,0.604286,-0.005862,0.445626,0.537194,0.021749,0.460113,0.52603,-0.007259,0.501014,0.640214,0.002803,0.470163,0.616109,-0.005221,0.491417,0.579522,-0.006284,0.476799,0.516876,0.020081,0.497856,0.646505,0.009594,0.504468,0.594105,0.001332,0.487156,0.58072,-0.00748,0.536552,0.542055,-0.01074,0.537312,0.629766,-0.01529,0.515764,0.612657,0.022693,0.513884,0.550426,0.00796,0.53879,0.552685,-0.019198
I,0.478567,0.694714,0.005271,0.547361,0.645216,0.002795,0.581143,0.707633,-0.014544,0.621942,0.672291,0.00422,0.635341,0.667575,-0.009476,0.516165,0.67003,0.020437,0.542648,0.693501,0.001013,0.597045,0.686838,-3.4e-05,0.662736,0.71109,-0.005889,0.544281,0.711372,0.012905,0.571133,0.717564,-0.005053,0.617989,0.735483,0.011953,0.657026,0.736074,-0.011247,0.539293,0.702351,-0.013423,0.581893,0.732185,-0.005607,0.596172,0.76613,0.004094,0.655133,0.723564,0.009099,0.506607,0.754709,-0.013708,0.55266,0.766554,-0.017252,0.605044,0.779066,-0.001288,0.652186,0.753883,0.002666
I,0.499783,0.733571,0.000957,0.577317,0.674297,-0.014195,0.618298,0.662378,-0.008588,0.635058,0.703009,0.00453,0.702135,0.685056,-0.013373,0.570493,0.717271,-0.013309,0.63878,0.662399,0.003388,0.658453,0.674877,0.005965,0.662366,0.709009,0.001914,0.536809,0.703434,-0.017256,0.616214,0.728164,-0.010205,0.628632,0.72206,-0.010702,0.697048,0.712349,-0.007555,0.551009,0.723664,-0.010123,0.604144,0.722231,-0.001972,0.633578,0.754072,0.002654,0.675114,0.739687,0.008503,0.563096,0.754072,0.010724,0.637325,0.770968,0.004601,0.65055,0.763421,0.014301,0.683273,0.764551,-0.02475
E,0.479147,0.727768,-0.022272,0.462924,0.678091,0.00351,0.536431,0.669961,-0.00095,0.545534,0.605354,0.001569,0.590064,0.568891,0.015838,0.474418,0.686601,0.0129,0.536032,0.660019,-0.011425,0.585074,0.639472,-0.007062,0.559969,0.579702,-0.005571,0.487798,0.696615,0.005098,0.547362,0.661204,0.012053,0.578576,0.670723,-0.006196,0.606927,0.595879,-0.002385,0.545087,0.714688,0.010953,0.574195,0.668401,-0.027409,0.556948,0.681423,-0.011355,0.633541,0.613959,-0.008348,0.556311,0.73535,0.008492,0.56654,0.705032,0.001222,0.629977,0.670352,0.009424,0.609612,0.662285,0.016055
H,0.510638,0.649559,-0.010682,0.524943,0.700076,0.001672,0.543239,0.739246,0.009913,0.557648,0.783474,0.000622,0.535366,0.810332,-0.002369,0.533207,0.693082,-0.016316,0.551592,0.775629,0.011367,0.549772,0.79133,-0.004779,0.527663,0.82346,-0.004411,0.502535,0.682984,-0.001955,0.496366,0.737434,6.4e-05,0.501561,0.789739,-0.019336,0.533749,0.804213,-0.006111,0.514561,0.7098,-0.001566,0.495929,0.744736,-0.027531,0.508663,0.784791,-0.006764,0.493795,0.814196,-0.00648,0.46289,0.714835,0.000506,0.471398,0.716192,0.004531,0.495624,0.768704,0.000292,0.474073,0.8363,-0.010251
V,0.467342,0.725584,-0.0178,0.404551,0.701376,0.001835,0.423668,0.644368,0.001994,0.445052,0.592808,-0.004298,0.438071,0.53083,0.007426,0.452872,0.673338,0.014299,0.445083,0.635013,0.005133,0.468982,0.591371,0.002138,0.456478,0.55109,0.002184,0.473176,0.683228,0.000103,0.492272,0.625255,-0.014433,0.466961,0.600398,0.023588,0.469952,0.546148,0.007025,0.506157,0.690531,-0.003099,0.470591,0.646104,0.004039,0.51031,0.596655,0.006256,0.493229,0.545011,-0.004787,0.552281,0.681006,0.002378,0.483915,0.623454,0.030662,0.508026,0.603858,-0.004505,0.511762,0.545521,-0.006471
I,0.486651,0.685011,0.005013,0.575051,0.647953,-0.014,0.572406,0.642776,0.009041,0.609682,0.630282,-0.005233,0.647169,0.634366,-0.004057,0.558775,0.693147,0.002002,0.561725,0.668532,0.004629,0.613802,0.63916,0.005065,0.656093,0.682317,0.005922,0.55763,0.676006,-0.000851,0.593524,0.69904,0.010929,0.631526,0.687949,0.001646,0.66513,0.674962,-0.014066,0.552856,0.689312,-0.003257,0.578029,0.693754,-0.008177,0.63111,0.688647,0.001315,0.672635,0.701981,0.006684,0.549801,0.706144,0.009586,0.582417,0.737111,0.015912,0.619922,0.709136,0.003383,0.673413,0.692245,0.011193
N,0.510727,0.762432,-0.001969,0.574028,0.78292,0.012828,0.595044,0.771703,0.00257,0.642386,0.797138,-0.010018,0.656999,0.818681,0.009222,0.579164,0.775666,-0.00864,0.589033,0.809178,0.010435,0.633171,0.807756,0.020486,0.621853,0.845981,-0.027956,0.543653,0.779488,0.00012,0.571296,0.787405,-0.000713,0.597163,0.812995,-0.00286,0.634076,0.833569,0.010665,0.517088,0.78234,0.017091,0.578512,0.803951,0.001795,0.558861,0.834856,-0.016094,0.622945,0.872114,-0.003938,0.522209,0.7964,-0.01356,0.54884,0.824296,0.005273,0.563942,0.833032,-0.003483,0.612219,0.871104,-0.01702
H,0.528101,0.649236,-0.000521,0.556986,0.716901,-0.000904,0.528477,0.735481,0.003157,0.568854,0.763788,-0.02231,0.524971,0.80734,0.013803,0.537601,0.717947,0.010829,0.550347,0.755361,-0.000637,0.527453,0.77627,0.003954,0.529032,0.80734,0.006002,0.552553,0.709936,-0.009766,0.507498,0.74912,0.007523,0.500473,0.785161,-0.002995,0.521678,0.830305,-0.009623,0.47998,0.736825,-0.006672,0.487458,0.737762,-0.013287,0.517412,0.781416,-0.012561,0.492972,0.817542,0.000709,0.473098,0.650135,0.00043,0.444611,0.742386,0.000411,0.497357,0.779423,0.020202,0.496629,0.829175,-0.011147
R,0.480698,0.696178,0.012811,0.557126,0.698499,-0.005436,0.580832,0.735424,-0.009106,0.587511,0.753129,-0.006617,0.614839,0.794074,-0.005301,0.541716,0.710465,0.011066,0.539334,0.721961,0.001096,0.58755,0.787675,-0.009257,0.625022,0.838947,0.003949,0.533278,0.762818,-0.001583,0.559927,0.759397,-0.009554,0.550311,0.784729,-0.012255,0.58852,0.833095,-0.002075,0.495068,0.731596,-0.004442,0.52998,0.753291,0.00056,0.562323,0.843467,-0.013212,0.580318,0.803327,0.013434,0.481152,0.757896,-0.007651,0.509323,0.818959,-0.005509,0.548489,0.815143,0.001128,0.595455,0.86309,-0.007084
J,0.506239,0.707104,-0.002573,0.432444,0.645704,-0.002911,0.464337,0.600101,0.02561,0.461611,0.56311,-0.007204,0.433826,0.538342,0.006763,0.482338,0.628223,0.01354,0.474245,0.59872,0.003466,0.478469,0.567633,-0.005905,0.457596,0.508618,-0.023348,0.48292,0.657674,-0.00995,0.480531,0.625649,0.007051,0.49992,0.589125,-0.005735,0.462488,0.518766,0.001783,0.517226,0.644626,0.016084,0.474637,0.603261,-0.012808,0.48536,0.570157,-0.002993,0.517241,0.552952,-0.010066,0.543175,0.653364,-0.010289,0.547206,0.619913,0.011927,0.53732,0.571413,0.007169,0.530318,0.520803,0.006611
R,0.501641,0.690685,0.0149,0.554221,0.724721,0.008043,0.568777,0.739128,-0.013224,0.590384,0.771422,0.017201,0.640696,0.791903,-0.008482,0.544255,0.707968,0.003646,0.541154,0.776472,0.016678,0.598659,0.777036,-0.010297,0.651365,0.827246,-0.005672,0.54025,0.73827,-0.002914,0.555705,0.782922,-0.003994,0.591041,0.804199,0.011811,0.591838,0.839436,-0.01318,0.528764,0.761643,-0.003361,0.567882,0.802884,-0.003108,0.583636,0.811741,0.000587,0.602194,0.816265,0.004797,0.489955,0.787715,0.005542,0.53101,0.801821,-0.01748,0.538913,0.820915,0.005235,0.593986,0.860418,0.004508
